"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"09/02/2026 00:00 - 09/02/2026 00:15","Germany (DE)","51679.30","49082.63"
"09/02/2026 00:15 - 09/02/2026 00:30","Germany (DE)","50920.49","48651.77"
"09/02/2026 00:30 - 09/02/2026 00:45","Germany (DE)","50250.15","48492.63"
"09/02/2026 00:45 - 09/02/2026 01:00","Germany (DE)","50364.90","48136.04"
"09/02/2026 01:00 - 09/02/2026 01:15","Germany (DE)","49794.78","47555.62"
"09/02/2026 01:15 - 09/02/2026 01:30","Germany (DE)","49442.68","47499.30"
"09/02/2026 01:30 - 09/02/2026 01:45","Germany (DE)","49275.04","47270.02"
"09/02/2026 01:45 - 09/02/2026 02:00","Germany (DE)","49475.14","47196.18"
"09/02/2026 02:00 - 09/02/2026 02:15","Germany (DE)","48993.43","46889.34"
"09/02/2026 02:15 - 09/02/2026 02:30","Germany (DE)","48864.87","46819.47"
"09/02/2026 02:30 - 09/02/2026 02:45","Germany (DE)","48541.69","46838.22"
"09/02/2026 02:45 - 09/02/2026 03:00","Germany (DE)","48776.85","46907.89"
"09/02/2026 03:00 - 09/02/2026 03:15","Germany (DE)","48823.07","47144.18"
"09/02/2026 03:15 - 09/02/2026 03:30","Germany (DE)","48557.30","47189.37"
"09/02/2026 03:30 - 09/02/2026 03:45","Germany (DE)","48460.30","47232.65"
"09/02/2026 03:45 - 09/02/2026 04:00","Germany (DE)","48928.53","47321.03"
"09/02/2026 04:00 - 09/02/2026 04:15","Germany (DE)","49387.39","47335.43"
"09/02/2026 04:15 - 09/02/2026 04:30","Germany (DE)","49760.01","48074.95"
"09/02/2026 04:30 - 09/02/2026 04:45","Germany (DE)","49900.34","48913.68"
"09/02/2026 04:45 - 09/02/2026 05:00","Germany (DE)","50705.07","49520.31"
"09/02/2026 05:00 - 09/02/2026 05:15","Germany (DE)","52243.29","50768.59"
"09/02/2026 05:15 - 09/02/2026 05:30","Germany (DE)","53073.41","51868.36"
"09/02/2026 05:30 - 09/02/2026 05:45","Germany (DE)","54550.93","54724.22"
"09/02/2026 05:45 - 09/02/2026 06:00","Germany (DE)","56917.45","56492.60"
"09/02/2026 06:00 - 09/02/2026 06:15","Germany (DE)","59226.18","59194.29"
"09/02/2026 06:15 - 09/02/2026 06:30","Germany (DE)","61335.63","61419.21"
"09/02/2026 06:30 - 09/02/2026 06:45","Germany (DE)","63454.43","63600.08"
"09/02/2026 06:45 - 09/02/2026 07:00","Germany (DE)","64881.69","65451.98"
"09/02/2026 07:00 - 09/02/2026 07:15","Germany (DE)","66705.59","67218.74"
"09/02/2026 07:15 - 09/02/2026 07:30","Germany (DE)","67595.08","68517.01"
"09/02/2026 07:30 - 09/02/2026 07:45","Germany (DE)","68363.40","69296.07"
"09/02/2026 07:45 - 09/02/2026 08:00","Germany (DE)","68741.37","70195.48"
"09/02/2026 08:00 - 09/02/2026 08:15","Germany (DE)","69747.05","70930.88"
"09/02/2026 08:15 - 09/02/2026 08:30","Germany (DE)","70323.15","71602.54"
"09/02/2026 08:30 - 09/02/2026 08:45","Germany (DE)","71205.59","71846.97"
"09/02/2026 08:45 - 09/02/2026 09:00","Germany (DE)","71516.74","71888.11"
"09/02/2026 09:00 - 09/02/2026 09:15","Germany (DE)","70962.79","71759.26"
"09/02/2026 09:15 - 09/02/2026 09:30","Germany (DE)","71056.91","71665.45"
"09/02/2026 09:30 - 09/02/2026 09:45","Germany (DE)","71447.54","71982.61"
"09/02/2026 09:45 - 09/02/2026 10:00","Germany (DE)","71664.48","71817.13"
"09/02/2026 10:00 - 09/02/2026 10:15","Germany (DE)","71574.60","71763.67"
"09/02/2026 10:15 - 09/02/2026 10:30","Germany (DE)","71549.73","72164.95"
"09/02/2026 10:30 - 09/02/2026 10:45","Germany (DE)","71723.87","72376.86"
"09/02/2026 10:45 - 09/02/2026 11:00","Germany (DE)","71277.44","72394.86"
"09/02/2026 11:00 - 09/02/2026 11:15","Germany (DE)","71389.09","72170.88"
"09/02/2026 11:15 - 09/02/2026 11:30","Germany (DE)","71396.37","72681.64"
"09/02/2026 11:30 - 09/02/2026 11:45","Germany (DE)","71384.31","72489.58"
"09/02/2026 11:45 - 09/02/2026 12:00","Germany (DE)","71147.21","72459.92"
"09/02/2026 12:00 - 09/02/2026 12:15","Germany (DE)","71317.11","71796.88"
"09/02/2026 12:15 - 09/02/2026 12:30","Germany (DE)","71456.58","71698.21"
"09/02/2026 12:30 - 09/02/2026 12:45","Germany (DE)","70895.82","71743.00"
"09/02/2026 12:45 - 09/02/2026 13:00","Germany (DE)","70935.64","71318.43"
"09/02/2026 13:00 - 09/02/2026 13:15","Germany (DE)","70458.27","70862.97"
"09/02/2026 13:15 - 09/02/2026 13:30","Germany (DE)","70098.99","70328.63"
"09/02/2026 13:30 - 09/02/2026 13:45","Germany (DE)","69811.77","69857.47"
"09/02/2026 13:45 - 09/02/2026 14:00","Germany (DE)","69373.07","69189.49"
"09/02/2026 14:00 - 09/02/2026 14:15","Germany (DE)","69101.77","69118.38"
"09/02/2026 14:15 - 09/02/2026 14:30","Germany (DE)","68919.33","68963.68"
"09/02/2026 14:30 - 09/02/2026 14:45","Germany (DE)","68843.15","68586.79"
"09/02/2026 14:45 - 09/02/2026 15:00","Germany (DE)","68526.79","68376.26"
"09/02/2026 15:00 - 09/02/2026 15:15","Germany (DE)","68724.02","68380.59"
"09/02/2026 15:15 - 09/02/2026 15:30","Germany (DE)","68619.38","68035.13"
"09/02/2026 15:30 - 09/02/2026 15:45","Germany (DE)","68708.42","68192.12"
"09/02/2026 15:45 - 09/02/2026 16:00","Germany (DE)","68451.88","68232.88"
"09/02/2026 16:00 - 09/02/2026 16:15","Germany (DE)","68073.84","68723.21"
"09/02/2026 16:15 - 09/02/2026 16:30","Germany (DE)","67792.03","68947.64"
"09/02/2026 16:30 - 09/02/2026 16:45","Germany (DE)","67723.71","69893.96"
"09/02/2026 16:45 - 09/02/2026 17:00","Germany (DE)","68334.74","70556.05"
"09/02/2026 17:00 - 09/02/2026 17:15","Germany (DE)","68700.91","71054.69"
"09/02/2026 17:15 - 09/02/2026 17:30","Germany (DE)","69201.00","71606.29"
"09/02/2026 17:30 - 09/02/2026 17:45","Germany (DE)","70232.31","72384.16"
"09/02/2026 17:45 - 09/02/2026 18:00","Germany (DE)","70776.89","73215.58"
"09/02/2026 18:00 - 09/02/2026 18:15","Germany (DE)","71238.34","73531.02"
"09/02/2026 18:15 - 09/02/2026 18:30","Germany (DE)","71419.46","73973.38"
"09/02/2026 18:30 - 09/02/2026 18:45","Germany (DE)","71367.67","73925.10"
"09/02/2026 18:45 - 09/02/2026 19:00","Germany (DE)","71366.67","73329.21"
"09/02/2026 19:00 - 09/02/2026 19:15","Germany (DE)","71114.15","72410.73"
"09/02/2026 19:15 - 09/02/2026 19:30","Germany (DE)","70315.78","71529.83"
"09/02/2026 19:30 - 09/02/2026 19:45","Germany (DE)","70167.66","70741.25"
"09/02/2026 19:45 - 09/02/2026 20:00","Germany (DE)","69788.11","70040.73"
"09/02/2026 20:00 - 09/02/2026 20:15","Germany (DE)","68234.54","68877.52"
"09/02/2026 20:15 - 09/02/2026 20:30","Germany (DE)","67068.29","67595.44"
"09/02/2026 20:30 - 09/02/2026 20:45","Germany (DE)","66468.01","66818.03"
"09/02/2026 20:45 - 09/02/2026 21:00","Germany (DE)","66122.82","66031.26"
"09/02/2026 21:00 - 09/02/2026 21:15","Germany (DE)","65247.37","64926.79"
"09/02/2026 21:15 - 09/02/2026 21:30","Germany (DE)","64469.81","63788.95"
"09/02/2026 21:30 - 09/02/2026 21:45","Germany (DE)","63340.39","63011.75"
"09/02/2026 21:45 - 09/02/2026 22:00","Germany (DE)","62500.30","62076.58"
"09/02/2026 22:00 - 09/02/2026 22:15","Germany (DE)","61915.18","61585.28"
"09/02/2026 22:15 - 09/02/2026 22:30","Germany (DE)","61458.33","60933.25"
"09/02/2026 22:30 - 09/02/2026 22:45","Germany (DE)","60451.89","59836.31"
"09/02/2026 22:45 - 09/02/2026 23:00","Germany (DE)","59566.76","58829.73"
"09/02/2026 23:00 - 09/02/2026 23:15","Germany (DE)","58229.49","57727.67"
"09/02/2026 23:15 - 09/02/2026 23:30","Germany (DE)","57733.27","56904.41"
"09/02/2026 23:30 - 09/02/2026 23:45","Germany (DE)","56579.81","55804.85"
"09/02/2026 23:45 - 10/02/2026 00:00","Germany (DE)","56113.85","54969.87"
"10/02/2026 00:00 - 10/02/2026 00:15","Germany (DE)","54308.26","54435.01"
"10/02/2026 00:15 - 10/02/2026 00:30","Germany (DE)","54010.37","53741.14"
"10/02/2026 00:30 - 10/02/2026 00:45","Germany (DE)","53520.75","53297.77"
"10/02/2026 00:45 - 10/02/2026 01:00","Germany (DE)","53114.60","53159.84"
"10/02/2026 01:00 - 10/02/2026 01:15","Germany (DE)","52268.65","52444.18"
"10/02/2026 01:15 - 10/02/2026 01:30","Germany (DE)","51947.72","52012.33"
"10/02/2026 01:30 - 10/02/2026 01:45","Germany (DE)","51726.41","51793.23"
"10/02/2026 01:45 - 10/02/2026 02:00","Germany (DE)","51405.31","52026.13"
"10/02/2026 02:00 - 10/02/2026 02:15","Germany (DE)","51039.86","51621.91"
"10/02/2026 02:15 - 10/02/2026 02:30","Germany (DE)","51168.31","51385.77"
"10/02/2026 02:30 - 10/02/2026 02:45","Germany (DE)","51226.82","51102.55"
"10/02/2026 02:45 - 10/02/2026 03:00","Germany (DE)","51287.45","51619.16"
"10/02/2026 03:00 - 10/02/2026 03:15","Germany (DE)","51403.22","51889.69"
"10/02/2026 03:15 - 10/02/2026 03:30","Germany (DE)","51277.54","51802.91"
"10/02/2026 03:30 - 10/02/2026 03:45","Germany (DE)","51452.21","51798.47"
"10/02/2026 03:45 - 10/02/2026 04:00","Germany (DE)","51661.38","52191.08"
"10/02/2026 04:00 - 10/02/2026 04:15","Germany (DE)","52208.03","52296.02"
"10/02/2026 04:15 - 10/02/2026 04:30","Germany (DE)","52466.05","52522.50"
"10/02/2026 04:30 - 10/02/2026 04:45","Germany (DE)","52369.90","53212.09"
"10/02/2026 04:45 - 10/02/2026 05:00","Germany (DE)","52855.88","53803.33"
"10/02/2026 05:00 - 10/02/2026 05:15","Germany (DE)","54264.63","54836.82"
"10/02/2026 05:15 - 10/02/2026 05:30","Germany (DE)","54513.71","55877.36"
"10/02/2026 05:30 - 10/02/2026 05:45","Germany (DE)","56037.70","56329.61"
"10/02/2026 05:45 - 10/02/2026 06:00","Germany (DE)","57920.29","57811.35"
"10/02/2026 06:00 - 10/02/2026 06:15","Germany (DE)","60612.83","60070.61"
"10/02/2026 06:15 - 10/02/2026 06:30","Germany (DE)","62522.71","61745.80"
"10/02/2026 06:30 - 10/02/2026 06:45","Germany (DE)","64258.62","63419.21"
"10/02/2026 06:45 - 10/02/2026 07:00","Germany (DE)","65280.78","64778.14"
"10/02/2026 07:00 - 10/02/2026 07:15","Germany (DE)","67123.61","66361.50"
"10/02/2026 07:15 - 10/02/2026 07:30","Germany (DE)","68365.96","67820.79"
"10/02/2026 07:30 - 10/02/2026 07:45","Germany (DE)","68990.18","68782.73"
"10/02/2026 07:45 - 10/02/2026 08:00","Germany (DE)","69465.23","69325.31"
"10/02/2026 08:00 - 10/02/2026 08:15","Germany (DE)","70493.61","70855.13"
"10/02/2026 08:15 - 10/02/2026 08:30","Germany (DE)","70727.80","71229.16"
"10/02/2026 08:30 - 10/02/2026 08:45","Germany (DE)","70929.97","71868.52"
"10/02/2026 08:45 - 10/02/2026 09:00","Germany (DE)","70813.12","71553.63"
"10/02/2026 09:00 - 10/02/2026 09:15","Germany (DE)","70586.60","71810.08"
"10/02/2026 09:15 - 10/02/2026 09:30","Germany (DE)","71248.78","71721.96"
"10/02/2026 09:30 - 10/02/2026 09:45","Germany (DE)","71228.58","71919.35"
"10/02/2026 09:45 - 10/02/2026 10:00","Germany (DE)","71225.93","72172.30"
"10/02/2026 10:00 - 10/02/2026 10:15","Germany (DE)","71019.00","72004.22"
"10/02/2026 10:15 - 10/02/2026 10:30","Germany (DE)","71501.25","72477.74"
"10/02/2026 10:30 - 10/02/2026 10:45","Germany (DE)","72099.01","72806.30"
"10/02/2026 10:45 - 10/02/2026 11:00","Germany (DE)","72601.92","73125.35"
"10/02/2026 11:00 - 10/02/2026 11:15","Germany (DE)","72174.75","73064.98"
"10/02/2026 11:15 - 10/02/2026 11:30","Germany (DE)","72738.61","73207.33"
"10/02/2026 11:30 - 10/02/2026 11:45","Germany (DE)","72715.49","73272.70"
"10/02/2026 11:45 - 10/02/2026 12:00","Germany (DE)","72064.83","73420.94"
"10/02/2026 12:00 - 10/02/2026 12:15","Germany (DE)","72147.98","73390.63"
"10/02/2026 12:15 - 10/02/2026 12:30","Germany (DE)","71796.35","73072.11"
"10/02/2026 12:30 - 10/02/2026 12:45","Germany (DE)","71229.71","72774.86"
"10/02/2026 12:45 - 10/02/2026 13:00","Germany (DE)","70648.88","72687.97"
"10/02/2026 13:00 - 10/02/2026 13:15","Germany (DE)","70518.53","72370.70"
"10/02/2026 13:15 - 10/02/2026 13:30","Germany (DE)","70049.96","71901.86"
"10/02/2026 13:30 - 10/02/2026 13:45","Germany (DE)","69518.99","71424.04"
"10/02/2026 13:45 - 10/02/2026 14:00","Germany (DE)","68491.59","71061.10"
"10/02/2026 14:00 - 10/02/2026 14:15","Germany (DE)","68749.32","70942.35"
"10/02/2026 14:15 - 10/02/2026 14:30","Germany (DE)","68779.23","70457.41"
"10/02/2026 14:30 - 10/02/2026 14:45","Germany (DE)","68798.34","69923.63"
"10/02/2026 14:45 - 10/02/2026 15:00","Germany (DE)","68639.05","69404.15"
"10/02/2026 15:00 - 10/02/2026 15:15","Germany (DE)","69055.05","69258.41"
"10/02/2026 15:15 - 10/02/2026 15:30","Germany (DE)","69087.04","69501.63"
"10/02/2026 15:30 - 10/02/2026 15:45","Germany (DE)","68474.12","69107.73"
"10/02/2026 15:45 - 10/02/2026 16:00","Germany (DE)","67857.94","69016.08"
"10/02/2026 16:00 - 10/02/2026 16:15","Germany (DE)","67988.14","69123.48"
"10/02/2026 16:15 - 10/02/2026 16:30","Germany (DE)","67326.30","69539.28"
"10/02/2026 16:30 - 10/02/2026 16:45","Germany (DE)","67754.02","69793.46"
"10/02/2026 16:45 - 10/02/2026 17:00","Germany (DE)","68151.01","70370.04"
"10/02/2026 17:00 - 10/02/2026 17:15","Germany (DE)","68390.84","70772.22"
"10/02/2026 17:15 - 10/02/2026 17:30","Germany (DE)","69185.98","71702.90"
"10/02/2026 17:30 - 10/02/2026 17:45","Germany (DE)","69938.01","72273.75"
"10/02/2026 17:45 - 10/02/2026 18:00","Germany (DE)","70717.98","72660.57"
"10/02/2026 18:00 - 10/02/2026 18:15","Germany (DE)","70653.13","72486.00"
"10/02/2026 18:15 - 10/02/2026 18:30","Germany (DE)","70583.28","72483.87"
"10/02/2026 18:30 - 10/02/2026 18:45","Germany (DE)","70833.29","72305.52"
"10/02/2026 18:45 - 10/02/2026 19:00","Germany (DE)","70985.43","72206.15"
"10/02/2026 19:00 - 10/02/2026 19:15","Germany (DE)","70144.02","71681.89"
"10/02/2026 19:15 - 10/02/2026 19:30","Germany (DE)","69235.95","71103.48"
"10/02/2026 19:30 - 10/02/2026 19:45","Germany (DE)","69379.76","70332.91"
"10/02/2026 19:45 - 10/02/2026 20:00","Germany (DE)","68925.81","69948.84"
"10/02/2026 20:00 - 10/02/2026 20:15","Germany (DE)","67850.09","68768.66"
"10/02/2026 20:15 - 10/02/2026 20:30","Germany (DE)","66653.78","67620.75"
"10/02/2026 20:30 - 10/02/2026 20:45","Germany (DE)","65467.71","66523.98"
"10/02/2026 20:45 - 10/02/2026 21:00","Germany (DE)","64820.19","65493.71"
"10/02/2026 21:00 - 10/02/2026 21:15","Germany (DE)","63881.30","64417.14"
"10/02/2026 21:15 - 10/02/2026 21:30","Germany (DE)","63103.22","63640.51"
"10/02/2026 21:30 - 10/02/2026 21:45","Germany (DE)","62262.26","62851.07"
"10/02/2026 21:45 - 10/02/2026 22:00","Germany (DE)","61326.63","61846.22"
"10/02/2026 22:00 - 10/02/2026 22:15","Germany (DE)","60408.55","61644.15"
"10/02/2026 22:15 - 10/02/2026 22:30","Germany (DE)","59832.87","60779.82"
"10/02/2026 22:30 - 10/02/2026 22:45","Germany (DE)","58753.60","59881.39"
"10/02/2026 22:45 - 10/02/2026 23:00","Germany (DE)","57873.29","59125.90"
"10/02/2026 23:00 - 10/02/2026 23:15","Germany (DE)","56854.19","58071.26"
"10/02/2026 23:15 - 10/02/2026 23:30","Germany (DE)","55994.04","57061.66"
"10/02/2026 23:30 - 10/02/2026 23:45","Germany (DE)","55046.75","56270.19"
"10/02/2026 23:45 - 11/02/2026 00:00","Germany (DE)","54386.74","55295.18"
